feature_set,model,AUC,AUC_lo,AUC_hi,PR_AUC,PRAUC_lo,PRAUC_hi,F1,F1_lo,F1_hi
Handcrafted,LR,0.5152129817444219,0.31189339393602433,0.7009554531490014,0.4322053663382033,0.24965679811174343,0.6870908344343732,0.46511627906976744,0.25625,0.6382978723404256
Handcrafted,RF,0.48073022312373226,0.29457901695160826,0.6647321428571428,0.4401573960369374,0.24770372527631543,0.6647842935017061,0.31999999999999995,0.08695652173913045,0.5454545454545455
Handcrafted,SVM,0.5659229208924949,0.36103740657493194,0.7505852534562212,0.4711997728762122,0.2717115621517342,0.733885785128237,0.5405405405405405,0.2962962962962963,0.7222222222222222
Handcrafted,Ensemble,0.5091277890466531,0.3074900793650794,0.7024175824175825,0.44960314156451386,0.2510018608743253,0.6873788989811204,0.4666666666666667,0.2067241379310345,0.684248120300752
BW-site,LR,0.7119675456389452,0.515297619047619,0.8889880952380952,0.7323550328534094,0.5360245504891041,0.8930001666408026,0.5217391304347826,0.3255813953488372,0.6799999999999999
BW-site,RF,0.7241379310344827,0.5525499275499275,0.8722616632860041,0.6092088421699436,0.39715278518031594,0.8327730374418181,0.5555555555555555,0.3333333333333333,0.7222517730496454
BW-site,SVM,0.6713995943204868,0.4666666666666667,0.8618737568737568,0.702567572404016,0.4730155354886369,0.8740902996479812,0.5789473684210527,0.3748842592592592,0.7428903654485048
BW-site,Ensemble,0.7383367139959431,0.5570769074675324,0.900839732444702,0.7025869405965165,0.5020392978992602,0.9084922303771679,0.5641025641025642,0.3683014354066985,0.7272727272727272
Combined,LR,0.6734279918864098,0.48,0.8571567808409915,0.6452530974812809,0.40328345129795945,0.8400984343052079,0.5116279069767442,0.31578947368421056,0.6808510638297872
Combined,RF,0.515212981744422,0.3160693297786951,0.693850469066937,0.41615822105589134,0.2460396232933226,0.6611834195349029,0.24,0.0,0.43750000000000006
Combined,SVM,0.6774847870182555,0.47549350649350647,0.8551587301587302,0.6961176960639508,0.46785502590022043,0.8634758570269636,0.5,0.27572227399813604,0.6800212765957447
Combined,Ensemble,0.6064908722109534,0.41662634408602145,0.7757936507936508,0.5088130739421436,0.300526517009002,0.7411338405790416,0.45161290322580644,0.19999999999999998,0.6486486486486486
