Feature,Dims,Reduction,AUC,CI_lo,CI_hi,PR_AUC,F1
BW-site physicochemical,145,None,0.7302231237322514,0.5477825926608889,0.8946247464503041,0.6958748355477172,0.5641025641025641
ESM2_only,320,None (mean-pool),0.7221095334685599,0.563894523326572,0.8627630090497738,0.6481676877961708,0.5333333333333333
ESM2+HC,320,None (mean-pool),0.6693711967545639,0.4937224264705883,0.8205710955710955,0.6023309650337701,0.4666666666666667
Handcrafted,320,None (mean-pool),0.5091277890466531,0.3074900793650794,0.7024175824175825,0.4496031415645138,0.4666666666666667
BW-binary (145d),145,None,0.6876267748478702,0.4959386446886447,0.860043050256032,0.623275036262754,0.5641025641025641
ESM-2 BW-mean (320d),320,None,0.6551724137931035,0.4705375253549695,0.825,0.5713293861457259,0.4827586206896552
ESM-2 BW-weighted (320d),320,None,0.6308316430020284,0.4270252976190476,0.815486111111111,0.6551649236457211,0.5185185185185185
"ESM-2 BW-flat (PCA→50d, 75.6% var)",50,PCA,0.6450304259634888,0.4583266129032258,0.8089092681197945,0.613242685914568,0.3846153846153846
"ESM-2 BW-flat (PCA→100d, 91.4% var)",100,PCA,0.6835699797160243,0.50203125,0.8485201917757699,0.6073948229683375,0.3636363636363636
BW-binary + ESM-2 BW-mean (465d),465,None,0.6774847870182555,0.4969528233985474,0.8492261904761905,0.669392045115561,0.5806451612903226
BW-binary + ESM-2 BW-weighted (465d),465,None,0.665314401622718,0.4666145833333333,0.8412770562770563,0.6864958024740723,0.5925925925925926
